,region_index,city,region_label,time,speed_kmh,free_flow_speed_kmh,congestion_level,travel_time_per_10_km_min
0,0,Berlin,Berlin,2025-01-01 00:00:00,30.5,35.2,15.5,19.6
1,0,Berlin,Berlin,2025-01-01 01:00:00,33.8,38.7,14.5,17.7
2,0,Berlin,Berlin,2025-01-01 02:00:00,35.4,39.3,11.2,16.9
3,0,Berlin,Berlin,2025-01-01 03:00:00,36.2,38.7,6.9,16.5
4,0,Berlin,Berlin,2025-01-01 04:00:00,36.8,38.2,3.7,16.2
5,0,Berlin,Berlin,2025-01-01 05:00:00,36.5,37.7,3.2,16.4
6,0,Berlin,Berlin,2025-01-01 06:00:00,36.4,37.4,2.8,16.4
7,0,Berlin,Berlin,2025-01-01 07:00:00,36.7,38.1,3.8,16.3
8,0,Berlin,Berlin,2025-01-01 08:00:00,38.0,39.2,2.9,15.7
9,0,Berlin,Berlin,2025-01-01 09:00:00,38.8,40.5,4.3,15.4
10,0,Berlin,Berlin,2025-01-01 10:00:00,39.5,42.7,8.2,15.1
11,0,Berlin,Berlin,2025-01-01 11:00:00,39.0,43.7,11.9,15.3
12,0,Berlin,Berlin,2025-01-01 12:00:00,39.2,44.6,13.7,15.2
13,0,Berlin,Berlin,2025-01-01 13:00:00,38.2,44.1,15.5,15.6
14,0,Berlin,Berlin,2025-01-01 14:00:00,37.0,43.7,18.1,16.1
15,0,Berlin,Berlin,2025-01-01 15:00:00,35.9,43.1,20.0,16.6
16,0,Berlin,Berlin,2025-01-01 16:00:00,35.2,42.9,21.7,16.9
17,0,Berlin,Berlin,2025-01-01 17:00:00,34.7,42.2,21.7,17.2
18,0,Berlin,Berlin,2025-01-01 18:00:00,34.4,41.3,20.0,17.4
19,0,Berlin,Berlin,2025-01-01 19:00:00,34.3,40.4,17.9,17.4
20,0,Berlin,Berlin,2025-01-01 20:00:00,34.2,39.8,16.1,17.5
21,0,Berlin,Berlin,2025-01-01 21:00:00,34.8,39.5,13.6,17.2
22,0,Berlin,Berlin,2025-01-01 22:00:00,35.3,39.2,11.0,16.9
23,0,Berlin,Berlin,2025-01-01 23:00:00,35.8,38.8,8.4,16.7
24,0,Berlin,Berlin,2025-01-02 00:00:00,35.2,37.6,6.7,17.0
25,0,Berlin,Berlin,2025-01-02 01:00:00,35.6,37.3,4.9,16.8
26,0,Berlin,Berlin,2025-01-02 02:00:00,35.9,37.7,4.9,16.6
27,0,Berlin,Berlin,2025-01-02 03:00:00,38.1,39.7,4.2,15.7
28,0,Berlin,Berlin,2025-01-02 04:00:00,42.7,44.1,3.1,14.0
29,0,Berlin,Berlin,2025-01-02 05:00:00,41.6,44.8,7.7,14.4
30,0,Berlin,Berlin,2025-01-02 06:00:00,38.7,44.4,14.5,15.4
31,0,Berlin,Berlin,2025-01-02 07:00:00,34.1,43.0,26.0,17.5
32,0,Berlin,Berlin,2025-01-02 08:00:00,34.8,43.0,23.6,17.2
33,0,Berlin,Berlin,2025-01-02 09:00:00,34.7,42.8,23.0,17.2
34,0,Berlin,Berlin,2025-01-02 10:00:00,34.0,42.8,25.8,17.6
35,0,Berlin,Berlin,2025-01-02 11:00:00,33.2,42.9,28.8,18.0
36,0,Berlin,Berlin,2025-01-02 12:00:00,32.5,42.7,31.3,18.4
37,0,Berlin,Berlin,2025-01-02 13:00:00,31.8,42.4,33.2,18.8
38,0,Berlin,Berlin,2025-01-02 14:00:00,30.7,42.3,37.5,19.5
39,0,Berlin,Berlin,2025-01-02 15:00:00,30.1,42.2,40.1,19.9
40,0,Berlin,Berlin,2025-01-02 16:00:00,30.5,42.3,38.6,19.6
41,0,Berlin,Berlin,2025-01-02 17:00:00,30.0,41.2,37.3,19.9
42,0,Berlin,Berlin,2025-01-02 18:00:00,31.2,41.0,31.3,19.2
43,0,Berlin,Berlin,2025-01-02 19:00:00,32.4,40.5,24.7,18.4
44,0,Berlin,Berlin,2025-01-02 20:00:00,33.7,40.3,19.4,17.7
45,0,Berlin,Berlin,2025-01-02 21:00:00,34.7,40.1,15.4,17.2
46,0,Berlin,Berlin,2025-01-02 22:00:00,35.0,39.6,13.0,17.1
47,0,Berlin,Berlin,2025-01-02 23:00:00,36.1,39.6,9.8,16.6
48,0,Berlin,Berlin,2025-01-03 00:00:00,35.6,38.3,7.6,16.8
49,0,Berlin,Berlin,2025-01-03 01:00:00,34.9,37.3,6.9,17.1
50,0,Berlin,Berlin,2025-01-03 02:00:00,36.3,38.5,6.0,16.5
51,0,Berlin,Berlin,2025-01-03 03:00:00,39.6,41.4,4.5,15.1
52,0,Berlin,Berlin,2025-01-03 04:00:00,42.7,44.5,4.2,14.0
53,0,Berlin,Berlin,2025-01-03 05:00:00,41.5,44.7,7.7,14.4
54,0,Berlin,Berlin,2025-01-03 06:00:00,38.8,44.4,14.3,15.4
55,0,Berlin,Berlin,2025-01-03 07:00:00,34.2,42.9,25.5,17.5
56,0,Berlin,Berlin,2025-01-03 08:00:00,34.7,42.8,23.2,17.2
57,0,Berlin,Berlin,2025-01-03 09:00:00,34.4,42.6,23.9,17.4
58,0,Berlin,Berlin,2025-01-03 10:00:00,33.3,42.4,27.2,17.9
59,0,Berlin,Berlin,2025-01-03 11:00:00,32.4,42.4,30.8,18.5
60,0,Berlin,Berlin,2025-01-03 12:00:00,31.5,42.1,33.3,19.0
61,0,Berlin,Berlin,2025-01-03 13:00:00,30.6,41.9,37.2,19.6
62,0,Berlin,Berlin,2025-01-03 14:00:00,28.8,41.6,44.1,20.7
63,0,Berlin,Berlin,2025-01-03 15:00:00,29.1,41.6,42.7,20.5
64,0,Berlin,Berlin,2025-01-03 16:00:00,30.1,41.7,38.2,19.8
65,0,Berlin,Berlin,2025-01-03 17:00:00,30.5,41.3,35.1,19.6
66,0,Berlin,Berlin,2025-01-03 18:00:00,30.7,40.8,32.6,19.4
67,0,Berlin,Berlin,2025-01-03 19:00:00,31.5,40.2,27.5,19.0
68,0,Berlin,Berlin,2025-01-03 20:00:00,32.4,39.9,23.1,18.5
69,0,Berlin,Berlin,2025-01-03 21:00:00,33.5,39.8,18.8,17.8
70,0,Berlin,Berlin,2025-01-03 22:00:00,33.5,39.5,17.7,17.8
71,0,Berlin,Berlin,2025-01-03 23:00:00,34.3,38.9,13.3,17.4
72,0,Berlin,Berlin,2025-01-04 00:00:00,34.6,38.1,10.2,17.3
73,0,Berlin,Berlin,2025-01-04 01:00:00,34.8,37.6,8.0,17.2
74,0,Berlin,Berlin,2025-01-04 02:00:00,35.1,37.6,7.2,17.0
75,0,Berlin,Berlin,2025-01-04 03:00:00,36.7,39.0,6.2,16.3
76,0,Berlin,Berlin,2025-01-04 04:00:00,39.2,41.2,5.1,15.2
77,0,Berlin,Berlin,2025-01-04 05:00:00,39.1,41.9,7.1,15.3
78,0,Berlin,Berlin,2025-01-04 06:00:00,37.6,42.0,11.6,15.9
79,0,Berlin,Berlin,2025-01-04 07:00:00,38.4,43.4,13.1,15.6
80,0,Berlin,Berlin,2025-01-04 08:00:00,38.5,43.8,13.5,15.5
81,0,Berlin,Berlin,2025-01-04 09:00:00,37.4,43.6,16.2,16.0
82,0,Berlin,Berlin,2025-01-04 10:00:00,35.5,43.0,21.2,16.8
83,0,Berlin,Berlin,2025-01-04 11:00:00,33.7,42.6,26.4,17.7
84,0,Berlin,Berlin,2025-01-04 12:00:00,32.4,42.2,30.3,18.4
85,0,Berlin,Berlin,2025-01-04 13:00:00,30.9,41.8,34.9,19.3
86,0,Berlin,Berlin,2025-01-04 14:00:00,30.5,41.6,36.1,19.6
87,0,Berlin,Berlin,2025-01-04 15:00:00,30.9,41.5,34.0,19.3
88,0,Berlin,Berlin,2025-01-04 16:00:00,30.7,41.5,35.0,19.5
89,0,Berlin,Berlin,2025-01-04 17:00:00,30.6,41.1,34.1,19.5
90,0,Berlin,Berlin,2025-01-04 18:00:00,31.1,40.6,30.8,19.2
91,0,Berlin,Berlin,2025-01-04 19:00:00,32.0,40.2,25.7,18.7
92,0,Berlin,Berlin,2025-01-04 20:00:00,32.6,39.9,22.5,18.3
93,0,Berlin,Berlin,2025-01-04 21:00:00,33.4,39.7,18.9,17.9
94,0,Berlin,Berlin,2025-01-04 22:00:00,33.6,39.3,16.9,17.8
95,0,Berlin,Berlin,2025-01-04 23:00:00,34.5,39.2,13.6,17.3
