Region index,City,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min]
0,Berlin,Berlin,2025-01-01T00:00,30.5,35.2,15.5,19.6
0,Berlin,Berlin,2025-01-01T01:00,33.8,38.7,14.5,17.7
0,Berlin,Berlin,2025-01-01T02:00,35.4,39.3,11.2,16.9
0,Berlin,Berlin,2025-01-01T03:00,36.2,38.7,6.9,16.5
0,Berlin,Berlin,2025-01-01T04:00,36.8,38.2,3.7,16.2
0,Berlin,Berlin,2025-01-01T05:00,36.5,37.7,3.2,16.4
0,Berlin,Berlin,2025-01-01T06:00,36.4,37.4,2.8,16.4
0,Berlin,Berlin,2025-01-01T07:00,36.7,38.1,3.8,16.3
0,Berlin,Berlin,2025-01-01T08:00,38.0,39.2,2.9,15.7
0,Berlin,Berlin,2025-01-01T09:00,38.8,40.5,4.3,15.4
0,Berlin,Berlin,2025-01-01T10:00,39.5,42.7,8.2,15.1
0,Berlin,Berlin,2025-01-01T11:00,39.0,43.7,11.9,15.3
0,Berlin,Berlin,2025-01-01T12:00,39.2,44.6,13.7,15.2
0,Berlin,Berlin,2025-01-01T13:00,38.2,44.1,15.5,15.6
0,Berlin,Berlin,2025-01-01T14:00,37.0,43.7,18.1,16.1
0,Berlin,Berlin,2025-01-01T15:00,35.9,43.1,20.0,16.6
0,Berlin,Berlin,2025-01-01T16:00,35.2,42.9,21.7,16.9
0,Berlin,Berlin,2025-01-01T17:00,34.7,42.2,21.7,17.2
0,Berlin,Berlin,2025-01-01T18:00,34.4,41.3,20.0,17.4
0,Berlin,Berlin,2025-01-01T19:00,34.3,40.4,17.9,17.4
0,Berlin,Berlin,2025-01-01T20:00,34.2,39.8,16.1,17.5
0,Berlin,Berlin,2025-01-01T21:00,34.8,39.5,13.6,17.2
0,Berlin,Berlin,2025-01-01T22:00,35.3,39.2,11.0,16.9
0,Berlin,Berlin,2025-01-01T23:00,35.8,38.8,8.4,16.7
0,Berlin,Berlin,2025-01-02T00:00,35.2,37.6,6.7,17.0
0,Berlin,Berlin,2025-01-02T01:00,35.6,37.3,4.9,16.8
0,Berlin,Berlin,2025-01-02T02:00,35.9,37.7,4.9,16.6
0,Berlin,Berlin,2025-01-02T03:00,38.1,39.7,4.2,15.7
