free_flow_speed_kmh,weekend,time_period,travel_time_category,speed_kmh,rush_hours,hour,congestion_level,travel_time_per_10_km_min
35.2,0,late night,heavy,30.5,0,0,15.5,19.6
38.7,0,late night,heavy,33.8,0,1,14.5,17.7
39.3,0,late night,heavy,35.4,0,2,11.2,16.9
38.7,0,late night,heavy,36.2,0,3,6.9,16.5
38.2,0,late night,heavy,36.8,0,4,3.7,16.2
37.7,0,late night,heavy,36.5,0,5,3.2,16.4
37.4,0,morning,heavy,36.4,0,6,2.8,16.4
38.1,0,morning,heavy,36.7,1,7,3.8,16.3
39.2,0,morning,heavy,38.0,1,8,2.9,15.7
40.5,0,morning,heavy,38.8,1,9,4.3,15.4
42.7,0,morning,heavy,39.5,1,10,8.2,15.1
43.7,0,morning,heavy,39.0,1,11,11.9,15.3
44.6,0,afternoon,heavy,39.2,1,12,13.7,15.2
44.1,0,afternoon,heavy,38.2,1,13,15.5,15.6
43.7,0,afternoon,heavy,37.0,1,14,18.1,16.1
43.1,0,afternoon,heavy,35.9,1,15,20.0,16.6
42.9,0,afternoon,heavy,35.2,1,16,21.7,16.9
42.2,0,evening,heavy,34.7,1,17,21.7,17.2
41.3,0,evening,heavy,34.4,1,18,20.0,17.4
40.4,0,evening,heavy,34.3,1,19,17.9,17.4
39.8,0,evening,heavy,34.2,0,20,16.1,17.5
39.5,0,night,heavy,34.8,0,21,13.6,17.2
39.2,0,night,heavy,35.3,0,22,11.0,16.9
38.8,0,night,heavy,35.8,0,23,8.4,16.7
37.6,0,late night,heavy,35.2,0,0,6.7,17.0
37.3,0,late night,heavy,35.6,0,1,4.9,16.8
37.7,0,late night,heavy,35.9,0,2,4.9,16.6
39.7,0,late night,heavy,38.1,0,3,4.2,15.7
44.1,0,late night,moderate,42.7,0,4,3.1,14.0
44.8,0,late night,moderate,41.6,0,5,7.7,14.4
44.4,0,morning,heavy,38.7,0,6,14.5,15.4
43.0,0,morning,heavy,34.1,1,7,26.0,17.5
43.0,0,morning,heavy,34.8,1,8,23.6,17.2
42.8,0,morning,heavy,34.7,1,9,23.0,17.2
42.8,0,morning,heavy,34.0,1,10,25.8,17.6
42.9,0,morning,heavy,33.2,1,11,28.8,18.0
42.7,0,afternoon,heavy,32.5,1,12,31.3,18.4
42.4,0,afternoon,heavy,31.8,1,13,33.2,18.8
42.3,0,afternoon,heavy,30.7,1,14,37.5,19.5
42.2,0,afternoon,heavy,30.1,1,15,40.1,19.9
42.3,0,afternoon,heavy,30.5,1,16,38.6,19.6
41.2,0,evening,heavy,30.0,1,17,37.3,19.9
41.0,0,evening,heavy,31.2,1,18,31.3,19.2
40.5,0,evening,heavy,32.4,1,19,24.7,18.4
40.3,0,evening,heavy,33.7,0,20,19.4,17.7
40.1,0,night,heavy,34.7,0,21,15.4,17.2
39.6,0,night,heavy,35.0,0,22,13.0,17.1
39.6,0,night,heavy,36.1,0,23,9.8,16.6
38.3,0,late night,heavy,35.6,0,0,7.6,16.8
37.3,0,late night,heavy,34.9,0,1,6.9,17.1
38.5,0,late night,heavy,36.3,0,2,6.0,16.5
41.4,0,late night,heavy,39.6,0,3,4.5,15.1
44.5,0,late night,moderate,42.7,0,4,4.2,14.0
44.7,0,late night,moderate,41.5,0,5,7.7,14.4
44.4,0,morning,heavy,38.8,0,6,14.3,15.4
42.9,0,morning,heavy,34.2,1,7,25.5,17.5
42.8,0,morning,heavy,34.7,1,8,23.2,17.2
42.6,0,morning,heavy,34.4,1,9,23.9,17.4
42.4,0,morning,heavy,33.3,1,10,27.2,17.9
42.4,0,morning,heavy,32.4,1,11,30.8,18.5
42.1,0,afternoon,heavy,31.5,1,12,33.3,19.0
41.9,0,afternoon,heavy,30.6,1,13,37.2,19.6
41.6,0,afternoon,heavy,28.8,1,14,44.1,20.7
41.6,0,afternoon,heavy,29.1,1,15,42.7,20.5
41.7,0,afternoon,heavy,30.1,1,16,38.2,19.8
41.3,0,evening,heavy,30.5,1,17,35.1,19.6
40.8,0,evening,heavy,30.7,1,18,32.6,19.4
40.2,0,evening,heavy,31.5,1,19,27.5,19.0
39.9,0,evening,heavy,32.4,0,20,23.1,18.5
39.8,0,night,heavy,33.5,0,21,18.8,17.8
39.5,0,night,heavy,33.5,0,22,17.7,17.8
38.9,0,night,heavy,34.3,0,23,13.3,17.4
38.1,1,late night,heavy,34.6,0,0,10.2,17.3
37.6,1,late night,heavy,34.8,0,1,8.0,17.2
37.6,1,late night,heavy,35.1,0,2,7.2,17.0
39.0,1,late night,heavy,36.7,0,3,6.2,16.3
41.2,1,late night,heavy,39.2,0,4,5.1,15.2
41.9,1,late night,heavy,39.1,0,5,7.1,15.3
42.0,1,morning,heavy,37.6,0,6,11.6,15.9
43.4,1,morning,heavy,38.4,1,7,13.1,15.6
43.8,1,morning,heavy,38.5,1,8,13.5,15.5
43.6,1,morning,heavy,37.4,1,9,16.2,16.0
43.0,1,morning,heavy,35.5,1,10,21.2,16.8
42.6,1,morning,heavy,33.7,1,11,26.4,17.7
42.2,1,afternoon,heavy,32.4,1,12,30.3,18.4
41.8,1,afternoon,heavy,30.9,1,13,34.9,19.3
41.6,1,afternoon,heavy,30.5,1,14,36.1,19.6
41.5,1,afternoon,heavy,30.9,1,15,34.0,19.3
41.5,1,afternoon,heavy,30.7,1,16,35.0,19.5
41.1,1,evening,heavy,30.6,1,17,34.1,19.5
40.6,1,evening,heavy,31.1,1,18,30.8,19.2
40.2,1,evening,heavy,32.0,1,19,25.7,18.7
39.9,1,evening,heavy,32.6,0,20,22.5,18.3
39.7,1,night,heavy,33.4,0,21,18.9,17.9
39.3,1,night,heavy,33.6,0,22,16.9,17.8
39.2,1,night,heavy,34.5,0,23,13.6,17.3
38.1,1,late night,heavy,34.5,0,0,10.4,17.3
37.2,1,late night,heavy,34.5,0,1,7.8,17.3
37.2,1,late night,heavy,35.0,0,2,6.0,17.0
38.0,1,late night,heavy,36.4,0,3,4.3,16.4
40.4,1,late night,heavy,39.1,0,4,3.1,15.3
41.1,1,late night,moderate,39.9,0,5,2.9,15.0
41.2,1,morning,heavy,39.5,0,6,4.4,15.1
42.6,1,morning,heavy,39.3,1,7,8.5,15.2
43.2,1,morning,heavy,39.5,1,8,9.4,15.1
43.3,1,morning,heavy,39.1,1,9,10.8,15.3
43.2,1,morning,heavy,37.9,1,10,13.9,15.7
43.4,1,morning,heavy,37.4,1,11,15.9,16.0
43.1,1,afternoon,heavy,36.3,1,12,18.5,16.4
42.8,1,afternoon,heavy,35.5,1,13,20.6,16.8
42.4,1,afternoon,heavy,34.6,1,14,22.4,17.2
42.0,1,afternoon,heavy,34.1,1,15,23.2,17.5
41.6,1,afternoon,heavy,32.7,1,16,27.2,18.3
41.2,1,evening,heavy,30.3,1,17,36.1,19.8
40.9,1,evening,heavy,26.6,1,18,53.3,22.4
40.9,1,evening,heavy,27.1,1,19,50.5,22.0
40.4,1,evening,heavy,30.2,0,20,33.6,19.8
40.5,1,night,heavy,32.3,0,21,25.3,18.5
40.0,1,night,heavy,33.6,0,22,18.9,17.8
40.1,1,night,heavy,35.1,0,23,14.3,17.0
40.1,0,late night,heavy,36.0,0,0,11.3,16.6
39.0,0,late night,heavy,35.4,0,1,10.2,16.9
