date,day,month,day_of_week,weekend,time,hour,time_period,rush_hour,booking_status,vehicle_type,pickup_location,drop_location,booking_value,booking_val_per_km,ride_distance,High_value_booking,long_ride,payment_method
2024-03-23,23,3,5,1,1900-01-01 12:29:38,12,,0,No_Driver_Found,Ebike,Palam_Vihar,Jhilmil,,,,0,0,No_Payment
2024-11-29,29,11,4,0,1900-01-01 18:01:39,18,,1,Incomplete,Go_Sedan,Shastri_Nagar,Gurgaon_Sector_56,237.0,41.361256544502616,5.73,1,0,Upi
2024-08-23,23,8,4,0,1900-01-01 08:56:10,8,,0,Completed,Auto,Khandsa,Malviya_Nagar,627.0,46.17083946980854,13.58,1,0,Debit_Card
2024-10-21,21,10,0,0,1900-01-01 17:17:25,17,,1,Completed,Premier_Sedan,Central_Secretariat,Inderlok,416.0,12.228101116990004,34.02,0,0,Upi
2024-09-16,16,9,0,0,1900-01-01 22:08:00,22,,0,Completed,Bike,Ghitorni_Village,Khan_Market,737.0,15.287284795685542,48.21,0,1,Upi
2024-02-06,6,2,1,0,1900-01-01 09:44:56,9,,0,Completed,Auto,Aiims,Narsinghpur,316.0,65.15463917525774,4.85,1,0,Upi
2024-06-17,17,6,0,0,1900-01-01 15:45:58,15,,1,Completed,Go_Mini,Vaishali,Punjabi_Bagh,640.0,15.518913676042676,41.24,0,1,Upi
2024-03-19,19,3,1,0,1900-01-01 17:37:37,17,,1,Completed,Auto,Mayur_Vihar,Cyber_Hub,136.0,20.731707317073173,6.56,0,0,Upi
2024-09-14,14,9,5,1,1900-01-01 12:49:09,12,,0,No_Driver_Found,Go_Sedan,Noida_Sector_62,Noida_Sector_18,,,,0,0,No_Payment
2024-12-16,16,12,0,0,1900-01-01 19:06:48,19,,1,Incomplete,Auto,Rohini,Adarsh_Nagar,135.0,13.03088803088803,10.36,0,0,Cash
2024-06-14,14,6,4,0,1900-01-01 16:24:12,16,,1,Completed,Auto,Udyog_Bhawan,Dwarka_Sector_21,181.0,9.122983870967742,19.84,0,0,Cash
2024-09-18,18,9,2,0,1900-01-01 08:09:38,8,,0,No_Driver_Found,Auto,Vidhan_Sabha,Aiims,,,,0,0,No_Payment
2024-06-25,25,6,1,0,1900-01-01 22:44:15,22,,0,Cancelled_By_Driver,Ebike,Patel_Chowk,Kherki_Daula_Toll,,,,0,0,No_Payment
2024-09-11,11,9,2,0,1900-01-01 19:29:39,19,,1,Completed,Go_Mini,Malviya_Nagar,Ghitorni_Village,394.0,18.37686567164179,21.44,0,0,Upi
2024-10-18,18,10,4,0,1900-01-01 18:28:53,18,,1,Completed,Go_Mini,Madipur,Gtb_Nagar,836.0,21.137800252844503,39.55,0,0,Upi
2024-06-07,7,6,4,0,1900-01-01 15:05:35,15,,1,Completed,Auto,Jama_Masjid,Khan_Market,410.0,11.795166858457998,34.76,0,0,Uber_Wallet
2024-07-01,1,7,0,0,1900-01-01 10:51:16,10,,0,Completed,Premier_Sedan,Igi_Airport,Madipur,401.0,18.252162039144288,21.97,0,0,Upi
2024-12-15,15,12,6,1,1900-01-01 15:08:25,15,,1,Cancelled_By_Driver,Go_Sedan,Vinobapuri,Gtb_Nagar,,,,0,0,No_Payment
2024-11-24,24,11,6,1,1900-01-01 09:07:10,9,,0,Cancelled_By_Customer,Ebike,Kashmere_Gate,Anand_Vihar,,,,0,0,No_Payment
2024-05-24,24,5,4,0,1900-01-01 19:53:57,19,,1,Cancelled_By_Driver,Ebike,Pitampura,Rajiv_Nagar,,,,0,0,No_Payment
2024-12-14,14,12,5,1,1900-01-01 21:27:04,21,,0,Completed,Go_Sedan,Punjabi_Bagh,Mansarovar_Park,264.0,19.35483870967742,13.64,0,0,Uber_Wallet
2024-07-29,29,7,0,0,1900-01-01 06:28:22,6,,0,Completed,Auto,Greater_Noida,Botanical_Garden,183.0,40.666666666666664,4.5,1,0,Upi
2024-02-23,23,2,4,0,1900-01-01 11:02:45,11,,0,Completed,Go_Mini,Tis_Hazari,Imt_Manesar,713.0,18.748356560610045,38.03,0,0,Upi
2024-03-09,9,3,5,1,1900-01-01 20:14:24,20,,1,Completed,Go_Mini,Noida_Sector_18,Old_Gurgaon,113.0,7.7770130763936685,14.53,0,0,Upi
2024-08-28,28,8,2,0,1900-01-01 16:30:14,16,,1,Completed,Auto,Kanhaiya_Nagar,Anand_Vihar,767.0,103.78890392422193,7.39,1,0,Debit_Card
2024-08-08,8,8,3,0,1900-01-01 06:34:38,6,,0,Completed,Uber_Xl,Okhla,Barakhamba_Road,495.0,48.387096774193544,10.23,1,0,Credit_Card
2024-01-26,26,1,4,0,1900-01-01 09:44:00,9,,0,Cancelled_By_Driver,Auto,Cyber_Hub,Saket,,,,0,0,No_Payment
2024-04-12,12,4,4,0,1900-01-01 19:42:35,19,,1,No_Driver_Found,Premier_Sedan,Sadar_Bazar_Gurgaon,Mehrauli,,,,0,0,No_Payment
2024-04-05,5,4,4,0,1900-01-01 18:57:12,18,,1,Incomplete,Bike,Shastri_Park,Botanical_Garden,304.0,153.53535353535355,1.98,1,0,Upi
2024-11-03,3,11,6,1,1900-01-01 12:24:59,12,,0,Completed,Auto,Faridabad_Sector_15,Malviya_Nagar,2847.0,72.60902830910481,39.21,1,0,Debit_Card
2024-05-18,18,5,5,1,1900-01-01 17:37:52,17,,1,Cancelled_By_Driver,Go_Mini,Qutub_Minar,Vishwavidyalaya,,,,0,0,No_Payment
2024-11-15,15,11,4,0,1900-01-01 05:53:55,5,,0,Completed,Go_Mini,Mundka,Preet_Vihar,282.0,33.73205741626794,8.36,1,0,Upi
2024-02-04,4,2,6,1,1900-01-01 18:08:04,18,,1,Completed,Premier_Sedan,Dlf_City_Court,Nehru_Place,656.0,102.660406885759,6.39,1,0,Uber_Wallet
2024-05-29,29,5,2,0,1900-01-01 14:05:10,14,,1,Completed,Auto,Tis_Hazari,Shahdara,134.0,2.8718388341191603,46.66,0,1,Credit_Card
2024-07-13,13,7,5,1,1900-01-01 19:53:15,19,,1,Cancelled_By_Driver,Go_Sedan,New_Colony,Ghitorni_Village,,,,0,0,No_Payment
2024-06-07,7,6,4,0,1900-01-01 19:21:10,19,,1,Completed,Go_Sedan,Nirman_Vihar,Malviya_Nagar,470.0,17.36239379386775,27.07,0,0,Cash
2024-05-16,16,5,3,0,1900-01-01 13:04:31,13,,0,Completed,Auto,New_Delhi_Railway_Station,Noida_Film_City,187.0,15.37828947368421,12.16,0,0,Upi
2024-10-02,2,10,2,0,1900-01-01 03:10:35,3,,0,Completed,Premier_Sedan,Civil_Lines_Gurgaon,Mandi_House,186.0,18.09338521400778,10.28,0,0,Upi
2024-02-26,26,2,0,0,1900-01-01 15:43:16,15,,1,Completed,Ebike,Seelampur,Janakpuri,70.0,1.5758667266996849,44.42,0,1,Upi
2024-09-10,10,9,1,0,1900-01-01 13:02:42,13,,0,Cancelled_By_Customer,Bike,Noida_Extension,Udyog_Vihar_Phase_4,,,,0,0,No_Payment
2024-09-12,12,9,3,0,1900-01-01 09:14:57,9,,0,Cancelled_By_Driver,Auto,Adarsh_Nagar,Civil_Lines_Gurgaon,,,,0,0,No_Payment
2024-01-24,24,1,2,0,1900-01-01 10:47:57,10,,0,Completed,Auto,Vinobapuri,Karkarduma,273.0,7.881062355658199,34.64,0,0,Uber_Wallet
2024-02-12,12,2,0,0,1900-01-01 19:42:39,19,,1,Incomplete,Premier_Sedan,Panipat,Tagore_Garden,966.0,52.78688524590164,18.3,1,0,Debit_Card
2024-10-02,2,10,2,0,1900-01-01 19:17:00,19,,1,Cancelled_By_Driver,Auto,Karol_Bagh,Tagore_Garden,,,,0,0,No_Payment
2024-04-01,1,4,0,0,1900-01-01 21:14:19,21,,0,Completed,Go_Sedan,Sultanpur,Noida_Extension,251.0,12.003825920612147,20.91,0,0,Debit_Card
2024-09-18,18,9,2,0,1900-01-01 21:06:36,21,,0,Cancelled_By_Driver,Go_Mini,Moti_Nagar,Anand_Vihar_Isbt,,,,0,0,No_Payment
2024-08-02,2,8,4,0,1900-01-01 07:17:07,7,,0,Cancelled_By_Customer,Auto,Shastri_Park,Anand_Vihar_Isbt,,,,0,0,No_Payment
2024-09-30,30,9,0,0,1900-01-01 13:10:50,13,,0,Incomplete,Bike,Dilshad_Garden,Nehru_Place,453.0,23.544698544698548,19.24,0,0,Debit_Card
2024-06-16,16,6,6,1,1900-01-01 00:44:47,0,,0,Completed,Go_Sedan,Dilshad_Garden,Nehru_Place,246.0,30.258302583025827,8.13,1,0,Upi
2024-09-18,18,9,2,0,1900-01-01 09:33:55,9,,0,Completed,Auto,Aya_Nagar,Karkarduma,237.0,80.06756756756756,2.96,1,0,Upi
2024-05-04,4,5,5,1,1900-01-01 21:26:59,21,,0,Incomplete,Go_Mini,Rajiv_Chowk,Central_Secretariat,1581.0,868.6813186813187,1.82,1,0,Cash
2024-06-03,3,6,0,0,1900-01-01 18:14:47,18,,1,Completed,Go_Mini,Mg_Road,Hauz_Rani,379.0,11.470944309927361,33.04,0,0,Uber_Wallet
2024-10-03,3,10,3,0,1900-01-01 22:20:34,22,,0,Completed,Go_Mini,Jasola,Palam_Vihar,545.0,12.192393736017896,44.7,0,1,Cash
2024-05-25,25,5,5,1,1900-01-01 11:24:29,11,,0,Completed,Go_Mini,Kashmere_Gate,Rk_Puram,479.0,64.90514905149051,7.38,1,0,Upi
