job_title,company_name,location,experience,salary,skills,posted_time,job_description,job_link,source
Junior Brand Strategist,Maxperience,"Delhi, Gurgaon",No experience required,"₹ 2,40,000 - 3,00,000",MS-PowerPointPresentation skillsCanva,2 days ago,"We are looking for a dynamic and detail-oriented fresher to join our team as a 'Junior Brand Strategist.' This role is ideal for someone who has strong skills in creating professional and impactful presentations and is eager to build a career in brand strategy, client servicing, and experiential marketing.

Key Responsibilities:

1. Supporting client relationship management, coordinating with internal teams, and assisting in developing strategic presentations and proposals.
2. Creating high-quality, visually engaging presentations for client pitches and internal reviews.
3. Translating briefs, ideas, and data into structured and impactful slide decks.
4. Supporting client servicing and maintaining strong client relationships.
5. Coordinating with creative, operations, and production teams to ensure smooth project execution.
6. Assisting in account management and ensuring timely delivery of projects.
7. Acting as a point of contact for basic client communication and follow-ups.
8. Identifying opportunities to improve client satisfaction and overall experience.            ",/job/detail/fresher-junior-brand-strategist-job-in-multiple-locations-at-maxperience1775122197,Internshala
Market Research Analyst,TheCoinRepublic,Bhopal,1 year(s),"₹ 2,00,000 - 3,60,000",FinanceFinancial ModelingFinancial AnalysisCryptographyBlockchainInvestingPortfolio Management,2 weeks ago,"Key Responsibilities: 

1. Conduct in-depth research on emerging blockchain technologies, and decentralized protocols ecosystems to support strategic analysis
2. Monitor and track developments, including protocol upgrades, regulatory changes, macroeconomic factors, and on-chain data
3. Identify and analyze key industry trends, patterns, and market movements to surface actionable insights for internal stakeholders
4. Evaluate and assess leading and emerging blockchain projects across fundamentals such as tokenomics, use cases, team credibility, and ecosystem adoption
5. Stay current with academic papers, whitepapers, and thought leadership across DeFi, Layer 1/Layer 2 solutions, NFTs, and related sectors            ",/job/detail/market-research-analyst-job-in-bhopal-at-thecoinrepublic1774073606,Internshala
Performance Marketing Associate,Educase India,Hyderabad,1 year(s),"₹ 2,40,000",Google AnalyticsGoogle AdWordsFacebook AdsMarketing Strategies Marketing Campaigns Performance Marketing,1 day ago,"Key responsibilities: 

1. Plan, execute, and manage paid campaigns on Meta (Facebook & Instagram), Google Ads, and LinkedIn Ads
2. Optimize campaigns to improve ROAS, CPL, CTR, and conversions
3. Conduct keyword research and competitor analysis
4. Manage budget allocation and scaling strategies
5. Track and analyze campaign performance using tools like Google Analytics, Meta Ads Manager, and Google Tag Manager
6. Generate weekly/monthly performance reports with actionable insights
7. A/B test creatives, landing pages, and ad copies
8. Coordinate with content and design teams for ad creatives
9. Ensure proper tracking setup (Pixel, Conversion API, and UTM tracking)            ",/job/detail/performance-marketing-associate-job-in-hyderabad-at-educase-india1775214892,Internshala
Performance Marketing,Poles Media Labs LLP,Pune,1 year(s),"₹ 4,80,000 - 7,20,000",YouTube AdsFacebook Ads,1 week ago,"We are looking for a dynamic and experienced Performance Marketing Specialist to join our team at Poles Media Labs LLP. If you are passionate about digital marketing and have a strong background in Facebook Ads, Google Ads, and multiple other ad platforms like Snapchat, Twitter, YouTube, etc. We want to hear from you!

Key Responsibilities:

1. Develop and optimize digital marketing campaigns across all digital platforms to drive brand awareness, engagement, and sales conversions for D2C E-commerce Brands.
2. Analyze campaign performance data to identify trends and insights, and make data-driven decisions to improve ROI.
3. Collaborate with the creative team to develop compelling ad creatives that resonate with our target audience.
4. Conduct A/B testing to optimize ad copy, imagery, and targeting strategies to maximize campaign effectiveness.
5. Stay updated on industry trends and best practices in performance marketing to continuously improve campaign performance.
6. Monitor and report on key performance metrics, providing regular updates to the team and stakeholders.
7. Work closely with the marketing team to develop integrated marketing strategies that align with business goals and objectives.

If you are a results-driven individual with a passion for digital marketing and a strong proficiency in Facebook and YouTube advertising, we want to hear from you. Join us at Poles Media Labs LLP and be a part of our exciting journey to drive growth through innovative performance marketing strategies.            ",/job/detail/performance-marketing-job-in-pune-at-poles-media-labs-llp1774585848,Internshala
Perception Engineer,ARTPARK,Bangalore,1 year(s),"₹ 4,00,000 - 9,00,000",OpenCVPythonComputer VisionDeep LearningTensorFlowPyTorchCNN (Convolutional Neural Network)+3 more,3 days ago,"We are looking for a highly capable 'Perception Engineer' to build robust perception systems for outdoor robotics. This role focuses on developing vision models, data pipelines, and inference systems for challenging real-world environments, with strong emphasis on accuracy, edge-case handling, maintainability, and deployment readiness. The ideal candidate should combine strong fundamentals with applied vision engineering expertise across image processing, deep learning, data-centric model development, failure analysis, and deployment optimization. We are looking for someone who can understand complex problems deeply, define clear evaluation standards, and build reliable perception pipelines for real-world operation.

Key Responsibilities:

1. Design and develop perception pipelines for real-world environments using computer vision, deep learning, and geometric reasoning.
2. Build and improve models for scene understanding, recognition, segmentation, tracking, and spatial perception using modern deep learning architectures.
3. Develop perception systems for monocular scene understanding and depth-related tasks where explicit depth sensing may not be available.
4. Develop and evaluate online CNN models for human detection, tracking, and path prediction under occlusion for safe robotic operation.
5. Translate use cases into measurable ML objectives, success metrics, and acceptance criteria such as mIoU, mAP, precision/recall, latency, FPS, and failure-case coverage.
6. Own the data pipeline end to end: data collection planning, annotation workflow definition, dataset curation, preprocessing, augmentation, label quality checks, and post-processing.
7. Work with annotation teams and tools such as CVAT to create high-quality datasets, including pixel-wise annotations, taxonomy definition, and edge-case labeling.
8. Fine-tune and adapt modern foundation models such as SAM, DINOv2, and evaluate when they are useful versus custom task-specific architectures.
9. Apply both classical and modern vision techniques where appropriate.
10. Optimize models for embedded and edge platforms, with focus on compute efficiency, inference speed, memory constraints, and deployment practicality.
11. Build clean, maintainable, modular code and scalable training/inference pipelines with good engineering practices and reproducibility.
12. Collaborate with robotics and embedded teams to integrate perception outputs into navigation, planning, and control systems.
13. Maintain documentation, experiment records, deployment specifications, and clear records of model limitations and known failure modes.            ",/job/detail/perception-engineer-job-in-bangalore-at-artpark1775031653,Internshala
Digital Marketing Executive,MG Creative,Noida,1 year(s),"₹ 2,04,000 - 3,00,000",Google AdWordsSearch Engine Optimization (SEO)Lead GenerationFacebook Ads,Just now,"Key Responsibilities: 

1. Manage and grow social media accounts (Instagram, Facebook, LinkedIn) 
2. Run and optimize Google Ads and Meta (Facebook/Instagram) ad campaigns 
3. Generate quality leads for printing, signage, and advertising services 
4. Create engaging content - posts, reels, banners, and promotional material 
5. Handle SEO to improve website ranking for signagemaker.co.in 
6. Track performance using Google Analytics and prepare monthly reports 
7. Coordinate with the internal team for campaigns and promotions            ",/job/detail/digital-marketing-executive-job-in-noida-at-mg-creative1775311528,Internshala
Data Analyst,DECCAN FOUNDERS MEDIA PVT LTD,Hyderabad,1 year(s),"₹ 2,40,000",PythonSQLStatistical ModelingData InterpretationData VisualizationAdvanced ExcelPredictive Analytics+8 more,5 days ago,"Key Responsibilities:

1. Collect data from multiple sources, including public datasets, APIs, third-party platforms, and web research
2. Clean, validate, and maintain datasets to ensure accuracy and consistency
3. Analyze the number of startups across India and globally, including growth trends and geographic distribution
4. Study registered vs. unregistered startups using government and third-party datasets
5. Analyze funding patterns across stages such as Seed, Series A, Series B, etc.
6. Track venture capital firms in India and globally and analyze their investment behavior
7. Identify sector-wise funding trends and determine the most preferred industries for investment
8. Perform in-depth sectoral analysis, including growth rate, funding inflow, and key players
9. Build dashboards and visual reports using tools like Power BI or Tableau
10. Generate weekly, monthly, and quarterly reports on startup and funding trends
11. Conduct predictive analysis to identify emerging sectors and future investment trends
12. Collaborate with cross-functional teams (Editorial, Research, Product, and Leadership) to gather inputs, define requirements, and deliver actionable insights            ",/job/detail/data-analyst-job-in-hyderabad-at-deccan-founders-media-pvt-ltd1774868774,Internshala
Data Analyst,Avadeti Media (Part Of Ojas Group),"Delhi, Gurgaon",1 year(s),"₹ 2,00,000 - 3,00,000",PythonSQLStatistical ModelingBusiness AnalysisData VisualizationAdvanced ExcelPower BI+3 more,Few hours ago,"We're Avadeti Media- the narrative intelligence and strategic communications arm of The Ojas Group. While our work is rooted in storytelling and perception, strong decisions come from strong data. We're hiring a data analyst who understands that data isn't just numbers- it's insight. Someone who can look beyond spreadsheets and identify patterns that influence business, media strategy, and brand positioning. If you're the kind of person who sees a dataset and instinctively starts asking why, what’s missing, and what this means for growth, you'll fit right in. This role bridges analytics with strategy. You'll work closely with PR, marketing, and content teams to translate data into actionable insights that shape campaigns, audience targeting, and performance tracking. Some days you'll be building dashboards, other days you'll be helping teams understand what worked- and what didn’t.

Key Responsibilities: 

1. Analyzing campaign performance across PR, social media, and digital platforms
2. Building dashboards and reports to track KPIs, engagement, and growth metrics
3. Cleaning, organizing, and managing datasets for accuracy and usability
4. Identifying trends, patterns, and actionable insights to support decision-making
5. Measuring ROI of campaigns and suggesting optimization strategies
6. Supporting audience research, competitor analysis, and market insights
7. Presenting insights in a clear, structured, and actionable manner            ",/job/detail/data-analyst-job-in-multiple-locations-at-avadeti-media-part-of-ojas-group1775301275,Internshala
Artificial Intelligence (AI) Associate,Curious About Sales,Nagpur,No experience required,"₹ 3,60,000 - 4,80,000",Computer skillsEnglish Proficiency (Spoken)English Proficiency (Written),1 day ago,"Selected candidate's day-to-day responsibilities include: 

1. Learn and operate modern AI and automation tools such as Clay, Lovable, Smartlead.ai, Apify, and n8n for data and workflow automation.
2. Scrape structured and unstructured data from the web using automated and manual data extraction techniques.
3. Qualify and enrich raw datasets by verifying accuracy, adding relevant attributes, and preparing clean data for business use.
4. Analyze and understand client business problems to identify opportunities for AI-driven solutions.
5. Communicate and coordinate with clients to gather requirements, share updates, and support project execution.            ",/job/detail/fresher-artificial-intelligence-ai-associate-job-in-nagpur-at-curious-about-sales1775192697,Internshala
Senior Amazon PPC Executive,Ad Ascend,Mumbai,1 year(s),"₹ 4,50,000 - 8,00,000",Team ManagementAnalytical ThinkingMS-ExcelProblem SolvingTeamworkInterpersonal skillsEffective Communication+1 more,2 days ago,"Key Responsibilities: 

1. Manage and optimise Amazon ad campaigns across Sponsored Products, Sponsored Brands, and Sponsored Display
2. Perform regular keyword research, search term analysis, bid optimisation, budget allocation, and campaign restructuring
3. Monitor core PPC metrics such as ACOS, ROAS, CPC, CTR, CVR, TACOS, and ad-attributed sales
4. Identify wasted spend, scaling opportunities, and account-level gaps
5. Work on campaign launches, ongoing optimisation, and performance improvement across multiple brands
6. Share actionable insights and recommendations based on account performance
Support monthly planning and target-based account reviews
7. Coordinate with internal team members on listing quality, pricing, promotions, and inventory-related factors impacting ad performance
8. Guide and review the work of 1–2 junior advertisers to ensure quality and consistency in execution
9. Follow internal SOPs and help strengthen PPC processes over time            ",/job/detail/senior-amazon-ppc-executive-job-in-mumbai-at-ad-ascend1775105727,Internshala
