job_category,job_title,company_name,location,experience,experience_level,salary,salary_category,skills,skill_count,posted_time,job_description,job_link,source
Other,perception engineer,artpark,bangalore,1,Fresher, 400000 - 900000,Medium,opencvpythoncomputer visiondeep learningtensorflowpytorchcnn (convolutional neural network)+3 more,8,3 days ago,"we are looking for a highly capable 'perception engineer' to build robust perception systems for outdoor robotics. this role focuses on developing vision models, data pipelines, and inference systems for challenging real-world environments, with strong emphasis on accuracy, edge-case handling, maintainability, and deployment readiness. the ideal candidate should combine strong fundamentals with applied vision engineering expertise across image processing, deep learning, data-centric model development, failure analysis, and deployment optimization. we are looking for someone who can understand complex problems deeply, define clear evaluation standards, and build reliable perception pipelines for real-world operation.

key responsibilities:

1. design and develop perception pipelines for real-world environments using computer vision, deep learning, and geometric reasoning.
2. build and improve models for scene understanding, recognition, segmentation, tracking, and spatial perception using modern deep learning architectures.
3. develop perception systems for monocular scene understanding and depth-related tasks where explicit depth sensing may not be available.
4. develop and evaluate online cnn models for human detection, tracking, and path prediction under occlusion for safe robotic operation.
5. translate use cases into measurable ml objectives, success metrics, and acceptance criteria such as miou, map, precision/recall, latency, fps, and failure-case coverage.
6. own the data pipeline end to end: data collection planning, annotation workflow definition, dataset curation, preprocessing, augmentation, label quality checks, and post-processing.
7. work with annotation teams and tools such as cvat to create high-quality datasets, including pixel-wise annotations, taxonomy definition, and edge-case labeling.
8. fine-tune and adapt modern foundation models such as sam, dinov2, and evaluate when they are useful versus custom task-specific architectures.
9. apply both classical and modern vision techniques where appropriate.
10. optimize models for embedded and edge platforms, with focus on compute efficiency, inference speed, memory constraints, and deployment practicality.
11. build clean, maintainable, modular code and scalable training/inference pipelines with good engineering practices and reproducibility.
12. collaborate with robotics and embedded teams to integrate perception outputs into navigation, planning, and control systems.
13. maintain documentation, experiment records, deployment specifications, and clear records of model limitations and known failure modes.            ",/job/detail/perception-engineer-job-in-bangalore-at-artpark1775031653,internshala
Data Analyst,data analyst,deccan founders media pvt ltd,hyderabad,1,Fresher, 240000,Low,pythonsqlstatistical modelingdata interpretationdata visualizationadvanced excelpredictive analytics+8 more,8,5 days ago,"key responsibilities:

1. collect data from multiple sources, including public datasets, apis, third-party platforms, and web research
2. clean, validate, and maintain datasets to ensure accuracy and consistency
3. analyze the number of startups across india and globally, including growth trends and geographic distribution
4. study registered vs. unregistered startups using government and third-party datasets
5. analyze funding patterns across stages such as seed, series a, series b, etc.
6. track venture capital firms in india and globally and analyze their investment behavior
7. identify sector-wise funding trends and determine the most preferred industries for investment
8. perform in-depth sectoral analysis, including growth rate, funding inflow, and key players
9. build dashboards and visual reports using tools like power bi or tableau
10. generate weekly, monthly, and quarterly reports on startup and funding trends
11. conduct predictive analysis to identify emerging sectors and future investment trends
12. collaborate with cross-functional teams (editorial, research, product, and leadership) to gather inputs, define requirements, and deliver actionable insights            ",/job/detail/data-analyst-job-in-hyderabad-at-deccan-founders-media-pvt-ltd1774868774,internshala
Data Analyst,data analyst,avadeti media (part of ojas group),"delhi, gurgaon",1,Fresher, 200000 - 300000,Low,pythonsqlstatistical modelingbusiness analysisdata visualizationadvanced excelpower bi+3 more,8,few hours ago,"we're avadeti media- the narrative intelligence and strategic communications arm of the ojas group. while our work is rooted in storytelling and perception, strong decisions come from strong data. we're hiring a data analyst who understands that data isn't just numbers- it's insight. someone who can look beyond spreadsheets and identify patterns that influence business, media strategy, and brand positioning. if you're the kind of person who sees a dataset and instinctively starts asking why, what’s missing, and what this means for growth, you'll fit right in. this role bridges analytics with strategy. you'll work closely with pr, marketing, and content teams to translate data into actionable insights that shape campaigns, audience targeting, and performance tracking. some days you'll be building dashboards, other days you'll be helping teams understand what worked- and what didn’t.

key responsibilities: 

1. analyzing campaign performance across pr, social media, and digital platforms
2. building dashboards and reports to track kpis, engagement, and growth metrics
3. cleaning, organizing, and managing datasets for accuracy and usability
4. identifying trends, patterns, and actionable insights to support decision-making
5. measuring roi of campaigns and suggesting optimization strategies
6. supporting audience research, competitor analysis, and market insights
7. presenting insights in a clear, structured, and actionable manner            ",/job/detail/data-analyst-job-in-multiple-locations-at-avadeti-media-part-of-ojas-group1775301275,internshala
AI Engineer,artificial intelligence (ai) associate,curious about sales,nagpur,0,Not Disclosed, 360000 - 480000,Low,computer skillsenglish proficiency (spoken)english proficiency (written),7,1 day ago,"selected candidate's day-to-day responsibilities include: 

1. learn and operate modern ai and automation tools such as clay, lovable, smartlead.ai, apify, and n8n for data and workflow automation.
2. scrape structured and unstructured data from the web using automated and manual data extraction techniques.
3. qualify and enrich raw datasets by verifying accuracy, adding relevant attributes, and preparing clean data for business use.
4. analyze and understand client business problems to identify opportunities for ai-driven solutions.
5. communicate and coordinate with clients to gather requirements, share updates, and support project execution.            ",/job/detail/fresher-artificial-intelligence-ai-associate-job-in-nagpur-at-curious-about-sales1775192697,internshala
Other,associate principal instructor: ev skill centre,rees52,raipur,1,Fresher, 204000 - 360000,Low,machine learningcomputer skillsbasic,4,3 weeks ago,"key responsibilities:

1. supporting implementation of cmkvy-approved ev skill development programs at livelihood college, raipur, in accordance with nsqf/ssc curricula, scheme guidelines, and sops.
2. assisting in planning and delivery of theory and hands-on practical training in electric vehicle systems, ensuring competency-based learning outcomes.
3. supervising ev laboratory operations, including equipment usage, safety compliance, maintenance, and adherence to prescribed quality standards.
4. mentoring and guiding instructors and trainers to ensure uniform training quality and effective instructional practices.
5. supporting assessment, certification, batch management, and scheme-mandated documentation, including readiness for audits, inspections, and third-party evaluations.
6. coordinating industry exposure, ojt/apprenticeships, and placement linkages to enhance trainee employability outcomes.

b. other details:
1. accommodation provided by company: scirobnics technology private limited.

c. career growth path:
1. principal instructor-ev, centre
2. head-ev skill centre
3. master trainer-state/national resource person (based on performance and scheme norms)            ",/job/detail/associate-principal-instructor-ev-skill-centre-job-in-raipur-at-rees521771911191,internshala
AI Engineer,ai video generator,360 digital idea,delhi,1,Fresher, 200000 - 320000,Low,video editingartificial intelligenceai video generation,6,2 days ago,"are you a creative individual with a passion for cutting-edge technology? do you have experience in ai video generation, artificial intelligence, and video editing? if so, we have the perfect opportunity for you at 360 digital idea!

key responsibilities:

1. collaborate with our team to develop innovative ai video generation solutions that push the boundaries of creativity and technology.
2. utilize your expertise in artificial intelligence to optimize video editing processes and enhance the overall quality of our videos.
3. stay up-to-date with the latest trends and advancements in ai video generation to ensure our company remains at the forefront of industry innovation.
4. work closely with clients to understand their unique needs and create customized video content that exceeds their expectations.
5. use your technical skills to troubleshoot any issues that arise during the video generation process and implement effective solutions.
6. participate in brainstorming sessions and contribute creative ideas that help elevate our video content and set us apart from competitors.
7. take ownership of projects from start to finish, ensuring deadlines are met and deliverables are of the highest quality.

if you are ready to take your ai video generation skills to the next level and join a dynamic team of digital enthusiasts, apply now to be a part of our exciting journey at 360 digital idea!            ",/job/detail/ai-video-generator-job-in-delhi-at-360-digital-idea1775118989,internshala
Other,senior python developer,markytics,pune,1,Fresher, 800000 - 1200000,Medium,htmlcsspythonsqldjangomachine learningrest api+1 more,5,3 days ago,"key responsibilities: 

1. design, develop, and maintain scalable, secure, and high-performance web applications using django and python
2. architect robust restful apis and microservices for seamless integration with frontend and third-party systems
3. collaborate with cross-functional teams (product, frontend, data) to deliver end-to-end features and solutions
4. optimize application performance, database queries, and system reliability for high-traffic environments
5. implement and enforce best coding practices, code reviews, and documentation standards
6. work with relational databases (postgresql/mysql) and ensure efficient data modeling and management
7. integrate ai/ml models, third-party apis, and cloud services where required
lead debugging, troubleshooting, and production issue resolution with a strong ownership mindset
8. contribute to system design, architecture decisions, and technical roadmap planning
9. ensure application security, data protection, and compliance with industry best practices
10. mentor junior developers and contribute to building a high-performance engineering culture
11. collaborate with devops teams for ci/cd pipelines, deployments, and cloud infrastructure management            ",/job/detail/senior-python-developer-job-in-pune-at-markytics1775017079,internshala
AI Engineer,coding & ai teacher,sr edu technologies,"agra, delhi, baraut",1,Fresher, 240000 - 300000,Low,cssjavascripthtml 5pythonteachingeffective communication,4,4 days ago,"key responsibilities:

1. teaching students the fundamentals of coding and ai using python, html 5, css, and javascript
2. developing and delivering engaging lesson plans to cater to students of all skill levels
3. providing one-on-one support and guidance to students to ensure their understanding and progress
4. creating interactive projects and activities to enhance student learning and retention
5. evaluating student performance and providing constructive feedback for improvement
6. collaborating with fellow teachers and staff to continuously improve the curriculum and teaching methods
7. demonstrating excellent communication skills to effectively convey complex coding concepts in a simple and understandable manner            ",/job/detail/coding-ai-teacher-job-in-multiple-locations-at-sr-edu-technologies1774930009,internshala
AI Engineer,junior robotics trainee,vigyan pathshala private limited,"gorakhpur, lucknow, sultanpur, maharajganj, faizabad, kushinagar, varanasi, ayodhya",0,Not Disclosed, 200000 - 240000,Low,pythonroboticsarduinointernet of things (iot),5,1 day ago,"vigyan pathshala private limited is looking for a passionate and motivated robotics & ai trainee who is eager to build a career in teaching and technology. the candidate will gain hands-on experience in arduino, robotics, iot, and basic ai concepts, while also delivering engaging sessions to school students.

key responsibilities:

1. teach robotics, arduino, and basic ai concepts to school students
2. conduct practical sessions and help students build small projects
3. assist in designing and developing robotics systems using arduino and iot technologies
4. support development of basic python applications for controlling and monitoring devices
5. participate in testing and debugging of robotics projects
6. maintain discipline and engagement during classroom sessions (yes, this is a real skill)
7. contribute creative ideas to improve learning experience and project outcomes
8.stay updated with latest trends in robotics and ai

salary and benefits: 

1. probation period (3 months):  around ₹10,000 per month
2. post probation: ₹20000 per month
3. hands-on training and practical exposure in robotics & ai
4. opportunity to work on real-world projects and teaching experience            ",/job/detail/fresher-junior-robotics-trainee-job-in-multiple-locations-at-vigyan-pathshala-private-limited1775209538,internshala
Data Engineer,big data executive,centre for development communication,jaipur,1,Fresher, 200000 - 350000,Low,ms-officecoordinationeffective communication,3,1 day ago,"key responsibilities: 

1.to manage data and generate reports
2.supporting business operations by providing accurate and timely information
3.data analysis,report preparation,maintain database to help management maked information systems            ",/job/detail/big-data-executive-job-in-jaipur-at-centre-for-development-communication1775194165,internshala
