restaurant_id,name,city,cuisine,rating,votes,cost_for_two,delivery_time,is_veg,discount_percent,order_count_month,latitude,longitude
1,Flavour Town,Kolkata,Mughlai,4.1,4800,418,25,1,10,1664,24.05490643149981,85.70668917306124
2,Urban Bites,Chennai,Bakery,4.9,2607,940,53,0,20,1431,22.401976741713618,81.2940322411581
3,Masala Magic,Hyderabad,Chinese,3.3,125,1235,40,1,30,364,14.341594381311506,79.77235110019777
4,The Hunger Spot,Bangalore,Chinese,3.7,1041,730,15,0,20,1296,23.751902314762873,78.59046885032215
5,Flavour Town,Pune,Italian,4.2,1251,1415,30,1,0,923,13.145784147173517,75.50968003599813
6,The Chef House,Delhi,Chinese,3.9,1752,1085,23,0,0,543,19.005909977431745,81.91088173491283
7,Spice Hub,Pune,Fast Food,4.6,3648,503,19,0,30,137,19.43130070964682,81.29030445402248
8,Flavour Town,Pune,Fast Food,4.4,4409,1117,22,0,30,619,14.65442466364318,88.02153856492984
9,Masala Magic,Bangalore,Italian,2.6,4100,220,35,0,0,875,12.95672851702243,79.2335772918812
10,The Hunger Spot,Kolkata,South Indian,5.0,1985,984,47,1,10,228,13.931473277431632,79.37576290427775
11,Urban Bites,Hyderabad,North Indian,4.4,4193,562,53,0,30,1452,19.896169401917977,75.35639360552122
12,Masala Magic,Pune,South Indian,4.7,4413,761,57,0,30,500,16.621632447287283,82.12211625179367
13,Masala Magic,Hyderabad,South Indian,4.1,4907,1234,34,0,20,942,13.896788325069673,86.02649539697917
14,Spice Hub,Mumbai,South Indian,4.6,173,764,59,1,0,1685,16.87684603406687,76.66760136752143
15,Royal Treat,Chennai,South Indian,2.8,3320,678,36,1,20,348,21.2082754355798,72.94161525006552
16,The Hunger Spot,Kolkata,Bakery,3.4,3398,1478,27,0,0,1226,24.60000753932027,83.58698852419532
17,Food Junction,Hyderabad,North Indian,4.7,1005,340,53,0,30,1997,19.35082141727156,73.28943114976798
18,Masala Magic,Delhi,Bakery,3.0,1887,227,25,0,0,436,22.54906846998793,79.18471026939226
19,Royal Treat,Chennai,Chinese,2.7,1833,1038,32,0,20,1126,22.288558319304144,82.35828126851052
20,Food Junction,Delhi,Mughlai,4.5,4916,1474,44,0,20,273,27.051400672923172,78.82178278745731
21,The Hunger Spot,Pune,South Indian,4.6,2305,1098,47,0,20,964,15.652368942478613,76.8650201724617
22,Tasty Point,Chennai,Mughlai,2.9,3274,166,58,1,10,24,20.37524405167469,85.26855752405946
23,The Chef House,Hyderabad,Fast Food,4.6,1358,964,17,1,0,322,22.846092731128536,77.49455789035774
24,Royal Treat,Chennai,Italian,4.2,1813,583,15,0,20,999,21.06358496836921,75.60872997586311
25,Café Delight,Pune,Italian,3.8,2261,1216,50,0,0,1579,19.96043121520344,78.85898859805963
26,Tasty Point,Bangalore,Bakery,4.6,2910,1241,20,1,0,1676,28.277997825212413,74.85397244196497
27,The Chef House,Kolkata,Bakery,3.5,1603,361,51,0,40,626,27.778019968079917,83.57019285667107
28,Spice Hub,Delhi,Fast Food,3.0,442,352,43,0,10,1471,22.522141576340893,83.87725448184479
29,Flavour Town,Pune,South Indian,3.2,3827,875,25,1,20,983,19.789253778796475,73.03054605278842
30,Urban Bites,Bangalore,Mughlai,3.8,4927,258,27,0,10,755,24.81057572877441,83.63991728369332
31,Café Delight,Chennai,Seafood,3.8,1080,1117,25,0,20,1794,20.955662468026794,77.46420249703199
32,Spice Hub,Chennai,Mughlai,4.5,4610,433,52,0,20,1270,28.62955698096501,83.03677606461257
33,The Hunger Spot,Pune,North Indian,4.5,124,1090,39,0,20,1697,23.706402994038584,83.82115096018592
34,Spice Hub,Hyderabad,Chinese,4.0,1449,1398,29,0,40,1975,13.883744948385562,77.13339025914937
35,Flavour Town,Chennai,Italian,4.5,1800,886,27,0,10,1606,19.190379404969917,75.69201546311038
36,The Hunger Spot,Hyderabad,Chinese,3.0,1004,1291,56,0,20,409,24.411208695260637,85.69119918071915
37,Café Delight,Hyderabad,North Indian,2.6,4328,1081,47,1,20,1700,26.1936709838775,84.3312747582157
38,Flavour Town,Kolkata,Bakery,4.7,4741,752,27,0,0,869,25.73257504956957,85.85942050224074
39,Food Junction,Hyderabad,Mughlai,2.7,4777,1454,52,0,10,1883,28.33807981691754,79.59723002252224
40,Urban Bites,Mumbai,Italian,3.1,967,640,38,0,40,838,20.577015870380894,79.91935304413961
41,Café Delight,Kolkata,Chinese,4.2,105,168,34,0,0,1607,15.027065971158178,78.16900782523912
42,Food Junction,Bangalore,Seafood,3.5,2164,1348,58,1,0,31,23.170666577876588,80.58537443615289
43,The Chef House,Bangalore,Bakery,4.7,641,950,31,0,10,356,13.92490762382219,82.88649285978391
44,Café Delight,Chennai,North Indian,3.2,3694,909,38,0,0,626,28.27902053850943,85.50690097753592
45,The Chef House,Chennai,Seafood,2.5,1711,1315,40,0,30,1926,24.8606758168632,75.65746191356051
46,The Hunger Spot,Hyderabad,Chinese,3.3,707,1078,54,0,0,148,28.416158708183232,79.1245150356642
47,Food Junction,Kolkata,Seafood,3.9,41,447,46,0,0,30,18.79832255716937,79.99474552744812
48,Urban Bites,Kolkata,Mughlai,3.4,4884,854,43,0,30,509,13.051167450543561,80.41271498190223
49,Flavour Town,Mumbai,South Indian,3.8,558,964,28,0,0,291,21.088506199858042,81.25477738846514
50,Masala Magic,Hyderabad,Seafood,4.7,2258,952,51,1,20,1400,14.726814014208108,85.3072571673408
51,Spice Hub,Mumbai,Bakery,4.8,1903,522,36,1,30,900,23.60608037740274,86.6255090281948
52,Tasty Point,Hyderabad,North Indian,3.2,2844,1077,48,1,20,1135,20.711067656681937,75.28285964333546
53,Urban Bites,Delhi,Chinese,3.7,1713,1100,41,1,20,28,24.779806922139443,83.91783672805066
54,Food Junction,Delhi,Mughlai,3.9,1166,993,42,1,0,906,17.427993807491195,80.27408863606904
55,Masala Magic,Pune,South Indian,4.9,353,1096,36,1,0,1166,25.983732472934012,79.31638071882679
56,Urban Bites,Hyderabad,South Indian,5.0,4082,592,57,0,0,795,23.14804667298439,74.56815328222297
57,Food Junction,Kolkata,North Indian,3.1,3472,1421,17,0,0,300,28.504584594364132,73.80051772414541
58,Royal Treat,Chennai,Fast Food,4.3,2258,291,36,1,10,477,15.63905681725228,88.05385124599086
59,Royal Treat,Bangalore,Mughlai,3.4,954,551,35,0,0,955,13.613646762078103,82.82094895291378
60,The Chef House,Pune,Mughlai,2.5,3890,972,30,0,10,470,26.331694019467776,79.8578437731348
61,Urban Bites,Chennai,Italian,2.5,2060,371,23,0,0,1674,18.18137545084487,84.68351068269729
62,Royal Treat,Delhi,North Indian,3.7,3295,886,27,0,10,1450,19.656817187714296,74.22167062733223
63,Food Junction,Hyderabad,South Indian,3.7,2865,1357,24,0,0,1745,27.518125370827818,82.27616371414959
