user_id,user_type,country,request_type,model_used,device_type,prompt_length,requests_per_min,toxic_score,jailbreak_score,anomaly_score,failed_requests,session_duration_sec,api_cost_usd,misuse_label
user_16795,premium,India,text_generation,code_llm,web,4372,133.74,0.178,0.339,0.862,21,3457,4.65,1
user_1860,free,Germany,code_generation,code_llm,mobile,1358,12.86,0.553,0.793,0.019,28,6899,4.48,1
user_77820,free,Germany,image_generation,code_llm,web,31,16.91,0.732,0.923,0.451,22,2399,0.537,1
user_55886,free,Germany,code_generation,code_llm,web,3498,32.26,0.63,0.318,0.317,21,3859,5.995,0
user_7265,free,India,code_generation,gpt_like,web,3496,50.5,0.489,0.887,0.563,18,2500,6.564,1
user_38194,free,India,image_generation,gpt_like,api,816,0.83,0.178,0.842,0.95,5,8552,1.942,1
user_45131,free,Germany,text_generation,gpt_like,web,2355,11.01,0.219,0.139,0.642,15,2163,4.143,0
user_61263,bot,Australia,image_generation,code_llm,mobile,3253,15.94,0.639,0.617,0.239,29,8297,0.74,0
user_17023,internal,Australia,text_generation,gpt_like,web,530,60.24,0.158,0.462,0.963,0,1303,5.799,1
user_42090,free,USA,text_generation,gpt_like,web,2380,135.32,0.187,0.557,0.373,21,571,5.518,1
user_68221,free,Singapore,image_generation,vision_model,api,3474,100.29,0.349,0.968,0.195,4,5276,6.11,1
user_65820,free,Canada,image_generation,vision_model,web,2348,42.72,0.021,0.019,0.852,6,8423,5.858,1
user_1769,free,Singapore,code_generation,code_llm,web,980,111.71,0.036,0.334,0.468,28,5230,6.186,1
user_60735,free,Germany,image_generation,vision_model,mobile,2167,92.4,0.396,0.802,0.184,24,4383,4.879,1
user_63955,free,USA,text_generation,vision_model,web,2566,15.97,0.021,0.277,0.019,29,3210,3.845,0
user_65925,premium,Canada,text_generation,code_llm,api,27,126.74,0.062,0.942,0.354,6,171,4.72,1
user_68969,premium,Australia,code_generation,vision_model,mobile,891,80.88,0.748,0.112,0.9,19,762,5.95,1
user_6311,free,India,text_generation,vision_model,web,1209,6.22,0.123,0.68,0.062,7,5539,3.022,1
user_54707,free,UK,image_generation,gpt_like,mobile,659,87.21,0.361,0.258,0.446,4,2658,0.196,1
user_29693,free,Canada,image_generation,gpt_like,mobile,3364,68.19,0.657,0.942,0.625,14,8551,4.088,1
user_72932,free,India,text_generation,code_llm,web,1342,132.7,0.117,0.677,0.145,28,869,2.312,1
user_26658,premium,Australia,image_generation,code_llm,mobile,4336,96.64,0.917,0.818,0.18,12,7428,6.567,1
user_19431,bot,USA,code_generation,vision_model,web,4310,18.24,0.256,0.994,0.084,26,4069,3.988,1
user_3747,bot,Australia,code_generation,vision_model,web,3383,115.17,0.081,0.097,0.046,11,4668,6.451,1
user_60150,free,India,code_generation,gpt_like,web,1276,93.58,0.514,0.141,0.029,29,2207,1.987,1
user_66725,free,Germany,image_generation,code_llm,mobile,3917,106.76,0.326,0.808,0.327,22,104,5.647,1
user_36773,free,India,code_generation,vision_model,api,416,38.35,0.755,0.12,0.906,0,8893,3.65,1
user_68435,internal,Australia,image_generation,gpt_like,web,3294,85.18,0.213,0.52,0.43,29,5136,0.47,1
user_57886,free,Canada,text_generation,gpt_like,mobile,1573,35.58,0.273,0.287,0.006,1,127,3.859,0
user_67803,bot,UK,image_generation,code_llm,api,4305,87.56,0.152,0.389,0.193,27,4343,6.413,1
user_32551,free,UK,text_generation,vision_model,mobile,3253,134.64,0.537,0.252,0.872,19,5760,5.928,1
user_12394,free,Canada,text_generation,code_llm,web,3154,112.92,0.161,0.88,0.966,8,3531,0.449,1
user_70092,free,Canada,text_generation,vision_model,web,1710,28.09,0.836,0.746,0.061,2,4392,4.303,1
user_4890,premium,USA,code_generation,gpt_like,api,478,129.84,0.921,0.173,0.607,16,7362,1.266,1
user_42606,premium,Singapore,text_generation,vision_model,mobile,792,45.31,0.893,0.371,0.386,13,5074,2.102,1
user_11627,premium,Australia,text_generation,gpt_like,api,2905,33.34,0.247,0.97,0.505,1,2204,0.226,1
user_9792,free,India,code_generation,code_llm,web,1010,115.27,0.015,0.397,0.323,17,8979,0.391,1
user_74969,free,USA,text_generation,gpt_like,web,271,0.64,0.513,0.07,0.172,23,8817,3.24,0
user_44001,bot,Singapore,text_generation,vision_model,mobile,1467,104.93,0.009,0.71,0.235,21,7066,3.46,1
user_77552,premium,Germany,text_generation,code_llm,mobile,2503,121.31,0.112,0.148,0.798,28,1253,0.521,1
user_24897,bot,India,code_generation,code_llm,mobile,1545,96.74,0.684,0.197,0.598,13,2850,4.594,1
user_69148,premium,Germany,image_generation,code_llm,api,608,84.36,0.592,0.366,0.378,12,2035,6.007,1
user_24483,free,UK,image_generation,vision_model,api,2501,100.86,0.499,0.305,0.646,26,7932,5.376,1
user_49555,premium,Germany,code_generation,gpt_like,api,4100,26.2,0.794,0.379,0.832,9,5879,5.951,1
user_18159,bot,Singapore,image_generation,code_llm,mobile,584,10.7,0.52,0.721,0.624,28,3290,2.766,1
user_36920,free,UK,text_generation,code_llm,api,3271,49.33,0.164,0.067,0.53,12,4021,3.075,0
user_68121,free,USA,text_generation,vision_model,web,4082,26.32,0.104,0.994,0.453,1,3824,2.076,1
user_70479,free,UK,code_generation,gpt_like,mobile,140,21.83,0.57,0.916,0.085,13,7150,3.559,1
user_20457,free,Singapore,image_generation,gpt_like,api,897,102.58,0.694,0.084,0.232,25,3458,3.917,1
user_67557,free,Australia,text_generation,vision_model,api,4329,105.5,0.826,0.21,0.838,18,1852,3.644,1
user_78189,premium,Canada,text_generation,gpt_like,mobile,3155,53.06,0.662,0.623,0.191,3,5440,6.059,0
user_79953,free,Australia,code_generation,gpt_like,web,4336,95.84,0.901,0.728,0.699,27,3652,2.715,1
user_53995,free,Singapore,text_generation,vision_model,mobile,2468,97.1,0.813,0.906,0.706,22,2173,4.198,1
user_41757,bot,Australia,text_generation,code_llm,web,518,78.13,0.694,0.323,0.577,16,5612,1.026,1
user_10692,premium,Australia,code_generation,vision_model,api,1630,81.38,0.213,0.255,0.595,18,6803,3.363,1
user_46758,bot,Singapore,image_generation,gpt_like,web,4375,81.91,0.092,0.855,0.151,29,564,5.212,1
