api_provider,endpoint_type,auth_method,app_category,region,daily_requests,avg_latency_ms,error_rate,payload_size_kb,success_rate,peak_hour_calls,retry_count
OpenAI,compute,JWT,backend_service,ap-south-1,1238,280.5276627999902,0.11593239566721492,10.34377943500033,0.9699424796103794,92,3
Stripe,auth,JWT,web_app,us-west-2,1200,303.9396977775122,0.06541517043679312,41.636675411342345,0.9209463139620735,78,1
Stripe,chat_completion,IAM_Role,data_pipeline,us-east-1,1230,293.7364593172949,0.033827815942976396,63.28635982261097,0.9467521564003303,90,3
OpenAI,auth,IAM_Role,data_pipeline,ap-south-1,1163,254.88278711961888,0.05545780583734577,9.296775194432932,0.9858493654683341,94,2
OpenAI,chat_completion,JWT,mobile_app,ap-south-1,1241,174.7699240587263,0.022010228391915455,5.138930456029792,0.9856954866096148,86,0
Stripe,chat_completion,JWT,backend_service,ap-south-1,1228,109.46102690407318,0.0724053478079713,32.36778725563242,0.9551786866798673,74,2
Stripe,storage,API_Key,web_app,ap-south-1,1177,322.2815551546722,0.12235251397800802,78.7612645472608,0.9229995636516924,76,0
OpenAI,chat_completion,IAM_Role,data_pipeline,ap-south-1,1216,304.13171616581883,0.09028063855380304,16.198487505515693,0.9720626416553186,86,1
Stripe,chat_completion,OAuth,web_app,ap-south-1,1189,63.81214295608282,0.03285475608901046,26.70122675631818,0.9785512040321198,80,1
OpenAI,compute,OAuth,backend_service,us-west-2,1190,283.27642290613227,0.13372277655943002,110.96456967366917,0.975715485044895,95,1
Stripe,storage,OAuth,mobile_app,eu-central-1,1226,284.53249317933904,0.10450431127368534,46.045820109887615,0.9855158587679876,85,3
AWS,compute,JWT,backend_service,ap-south-1,1174,11.177369750426692,0.08339108268233007,49.803952745193584,0.9704644735521616,87,0
OpenAI,payments,JWT,web_app,ap-south-1,1200,268.8154093958538,0.05898695844034362,128.5781109417827,0.9743643596021232,65,1
AWS,chat_completion,OAuth,backend_service,ap-south-1,1151,273.10245103691136,0.06650221953976339,25.04746577758656,0.9947503494593124,83,3
Stripe,auth,OAuth,backend_service,ap-south-1,1235,244.83673483655934,0.019696190660596843,76.50814169913883,0.9465202304976228,97,2
AWS,payments,OAuth,data_pipeline,us-west-2,1228,218.79397048739844,0.06318893808897008,10.157887344413759,0.960501018706654,79,2
OpenAI,auth,OAuth,web_app,eu-central-1,1191,196.05774423027276,0.05982696220828259,34.92798630991952,0.9799966146302428,63,4
AWS,payments,OAuth,mobile_app,ap-south-1,1208,184.35866747115185,0.09883424829782253,45.17882979561956,0.9775097319552651,73,1
