provider,region,instance_type,vCPU,ram_gb,storage_gb,bandwidth_tb,contract_type,usage_hours,monthly_cost($)
GCP,ap-south-1,memory,4,64,200,2.62,On-Demand,720,144.57
AWS,us-east-1,memory,2,64,200,4.18,Reserved,360,108.88
GCP,eu-west-1,memory,4,16,1000,1.13,Reserved,360,73.58
GCP,eu-west-1,compute,4,8,500,2.38,Reserved,360,58.22
AWS,eu-west-1,memory,4,32,100,1.47,Reserved,720,66.62
AWS,eu-west-1,memory,4,8,200,4.84,On-Demand,720,93.76
GCP,eu-west-1,memory,4,8,500,4.97,On-Demand,720,103.01
Azure,us-west-2,memory,8,16,200,4.37,On-Demand,360,137.27
GCP,us-east-1,compute,8,32,500,2.2,On-Demand,720,139.74
GCP,eu-west-1,memory,2,64,1000,1.4,Reserved,720,110.94
GCP,eu-west-1,compute,4,8,500,0.7,On-Demand,360,66.5
GCP,us-east-1,compute,2,32,200,4.81,On-Demand,720,106.49
AWS,eu-west-1,general,2,16,1000,3.25,Reserved,360,80.39
GCP,us-east-1,compute,4,32,100,4.13,Reserved,720,79.67
Azure,us-east-1,general,16,8,200,1.76,On-Demand,720,163.84
AWS,us-west-2,general,4,32,1000,0.9,On-Demand,720,127.9
Azure,eu-west-1,general,8,16,1000,3.31,On-Demand,360,165.05
Azure,ap-south-1,general,4,64,100,4.02,Reserved,720,121.17
Azure,ap-south-1,memory,8,16,1000,2.4,On-Demand,360,156.45
Azure,ap-south-1,compute,8,8,100,3.53,On-Demand,720,112.84
AWS,us-west-2,memory,16,32,100,2.85,Reserved,360,140.36
AWS,us-east-1,memory,2,8,100,1.77,On-Demand,720,46.63
Azure,us-west-2,memory,4,8,200,2.99,On-Demand,720,80.97
Azure,us-west-2,compute,4,8,500,4.32,On-Demand,720,107.71
AWS,us-west-2,memory,4,8,1000,3.02,On-Demand,360,113.38
AWS,eu-west-1,compute,4,16,500,3.54,On-Demand,360,106.76
AWS,us-west-2,memory,8,8,200,4.16,On-Demand,360,117.64
GCP,us-west-2,general,2,32,100,3.61,On-Demand,720,91.95
GCP,us-west-2,memory,2,16,200,2.52,On-Demand,720,65.63
GCP,ap-south-1,general,2,8,200,2.42,On-Demand,360,54.13
Azure,us-west-2,compute,16,32,1000,2.7,On-Demand,720,245.81
GCP,us-east-1,general,2,16,100,4.8,Reserved,720,58.21
Azure,us-east-1,compute,8,32,500,4.87,Reserved,720,129.37
Azure,ap-south-1,general,4,32,200,2.2,On-Demand,360,108.78
GCP,eu-west-1,memory,4,32,200,4.82,Reserved,360,86.99
Azure,eu-west-1,general,4,8,200,2.32,On-Demand,720,74.63
GCP,us-east-1,compute,8,16,200,0.7,On-Demand,360,92.82
GCP,us-east-1,memory,4,8,500,1.7,On-Demand,720,75.05
AWS,eu-west-1,general,16,16,500,4.71,On-Demand,720,207.29
GCP,eu-west-1,memory,2,16,1000,3.35,Reserved,720,76.98
AWS,ap-south-1,compute,2,8,500,3.27,Reserved,360,56.25
GCP,ap-south-1,general,16,16,1000,4.42,On-Demand,720,215.82
GCP,us-west-2,general,4,32,100,1.87,On-Demand,720,91.32
AWS,eu-west-1,compute,8,16,500,3.05,On-Demand,720,132.35
AWS,us-west-2,memory,4,8,200,1.04,Reserved,360,42.88
GCP,us-west-2,compute,8,8,200,1.37,Reserved,360,63.29
Azure,us-east-1,compute,4,64,500,0.85,On-Demand,720,157.24
AWS,us-west-2,compute,8,32,500,0.61,On-Demand,720,132.79
Azure,ap-south-1,memory,8,32,500,2.64,On-Demand,720,158.61
Azure,us-east-1,general,2,8,200,1.03,On-Demand,720,46.69
Azure,ap-south-1,compute,2,32,500,4.09,On-Demand,360,125.07
AWS,ap-south-1,general,8,32,500,2.23,On-Demand,720,147.37
Azure,ap-south-1,memory,16,8,200,3.16,Reserved,720,127.49
AWS,ap-south-1,compute,16,16,500,2.14,On-Demand,360,184.16
Azure,us-east-1,compute,2,8,500,2.23,Reserved,720,51.99
GCP,eu-west-1,general,2,16,100,3.04,On-Demand,720,65.8
GCP,ap-south-1,general,8,64,500,3.07,On-Demand,720,189.74
AWS,us-west-2,compute,2,16,100,1.12,On-Demand,360,51.98
GCP,us-east-1,memory,2,16,500,1.28,On-Demand,720,67.85
GCP,eu-west-1,general,16,64,100,4.84,On-Demand,720,244.78
Azure,us-west-2,compute,2,32,100,2.34,Reserved,360,64.53
AWS,us-east-1,general,2,8,100,3.92,On-Demand,720,65.98
Azure,ap-south-1,compute,8,16,1000,3.08,Reserved,360,117.27
Azure,ap-south-1,general,4,16,200,1.35,Reserved,720,55.6
Azure,us-east-1,compute,2,32,100,1.08,Reserved,720,55.96
Azure,ap-south-1,general,16,8,100,0.63,On-Demand,720,148.44
Azure,us-west-2,memory,4,64,200,1.34,On-Demand,360,147.69
Azure,eu-west-1,compute,4,8,1000,1.1,Reserved,720,72.65
Azure,eu-west-1,general,2,16,200,1.97,Reserved,360,48.48
AWS,us-west-2,memory,2,32,200,2.53,Reserved,720,65.93
GCP,ap-south-1,memory,16,32,200,3.7,On-Demand,720,196.74
Azure,us-west-2,memory,8,16,100,4.77,Reserved,720,98.15
Azure,ap-south-1,general,4,16,200,2.29,On-Demand,720,86.11
Azure,ap-south-1,memory,2,8,1000,3.7,On-Demand,360,109.72
Azure,us-west-2,general,16,8,500,0.72,On-Demand,720,168.19
Azure,us-west-2,compute,2,8,500,2.07,On-Demand,720,70.7
Azure,ap-south-1,memory,4,8,100,2.04,On-Demand,720,67.26
GCP,us-west-2,memory,2,64,200,3.86,On-Demand,720,140.92
GCP,us-east-1,general,8,16,100,0.54,On-Demand,360,87.17
Azure,us-west-2,compute,16,16,500,3.8,On-Demand,360,209.06
GCP,us-east-1,compute,2,64,200,2.21,On-Demand,720,126.82
AWS,us-east-1,compute,2,32,100,4.04,Reserved,720,72.48
Azure,eu-west-1,memory,2,8,500,3.7,On-Demand,360,86.1
AWS,eu-west-1,general,2,16,1000,2.27,Reserved,720,74.04
AWS,us-west-2,general,4,64,100,3.02,Reserved,720,108.92
Azure,us-west-2,memory,8,32,1000,2.64,Reserved,720,131.21
GCP,ap-south-1,general,4,64,1000,2.03,On-Demand,360,173.73
AWS,us-east-1,compute,2,32,100,2.85,On-Demand,360,89.95
Azure,us-east-1,memory,8,32,200,2.37,Reserved,720,102.16
AWS,eu-west-1,general,4,8,200,0.77,Reserved,720,41.13
AWS,us-east-1,compute,8,32,200,0.58,Reserved,360,85.69
AWS,us-west-2,memory,4,8,500,0.65,On-Demand,720,69.55
AWS,ap-south-1,compute,16,16,500,4.99,On-Demand,360,209.81
